id,title_s,title_l,date,status,PI,co_PIs,institution,desc,pic,pic_cred,theme,systems,link,latitude,longitude,geometry,
82,Quantifying Impacts of Timber Harvesting Operations on Suspended Sediment Inputs to Oregon Coast Range Headwater Streams,Quantifying Impacts of Timber Harvesting Operations on Suspended Sediment Inputs to Oregon Coast Range Headwater Streams,2018,completed,"Rachels, Aaron A.",,OSU,,,,"economy, environment",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/h702qc383?locale=en,44.5995,-123.4263,TRUE,
83,"Collective Aquifer Governance: ItÕs the Water, and a ÒHoleÓ Lot More","Collective Aquifer Governance: ItÕs the Water, and a ÒHoleÓ Lot More",2018,completed,"Wiley, Jakob Stevan",,OSU,,,,law,,https://ir.library.oregonstate.edu/concern/graduate_projects/pn89dd30b?locale=en,43.125,-119.343,TRUE,
84,Aquatic Ecology in Coastal Riverscapes : Characterizing Fish Assemblages and Stream Chemistry over Time,Aquatic Ecology in Coastal Riverscapes : Characterizing Fish Assemblages and Stream Chemistry over Time,2018,completed,"Feiten, Nicole E.",,OSU,,,,"environment, economy",,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/5d86p511n?locale=en,43.3881,-124.2041,TRUE,
85,Assessment of Decentralized Wastewater Treatment System- Potential Impact on Water Quality,Assessment of Decentralized Wastewater Treatment System- Potential Impact on Water Quality,2018,completed,"Chavan, Padmaja Ramesh",,OSU,,,,health,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/js956n338?locale=en,44.0455,-123.8675,TRUE,
86,Ecohydrologic Connections in Semiarid Watershed Systems of Central Oregon USA,Ecohydrologic Connections in Semiarid Watershed Systems of Central Oregon USA,2018,completed,"Ochoa, Carlos G.","Phil Caruso, W. Todd Jarvis, Ray Grace, Tim Deboodt, Steven J. Guldan",OSU,,,,"law, envrionment",,https://ir.library.oregonstate.edu/concern/articles/gx41mq01m?locale=en,43.944,-120.763,TRUE,
87,Domestic Well Aquifer Storage Using Seasonal Springs,Domestic Well Aquifer Storage Using Seasonal Springs,2018,completed,"Robinson, Julianne E.",,OSU,,,,law,,https://ir.library.oregonstate.edu/concern/honors_college_theses/h415pg636?locale=en,44.6198,-123.9403,TRUE,
88,Characterization of Stormwater Runoff from a County Maintenance Facility and Evaluation of Temporal Performance of Bioswale in Its Treatment,Characterization of Stormwater Runoff from a County Maintenance Facility and Evaluation of Temporal Performance of Bioswale in Its Treatment,2018,completed,"Gyawali, Kshitiz",,OSU,,,,environment,,https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/028712243?locale=en,44.5646,-123.262,TRUE,
89,"Winter Rain versus Snow in Headwater Catchments: Responses of an Unconfined Pumice Aquifer, South-Central Oregon, USA","Winter Rain versus Snow in Headwater Catchments: Responses of an Unconfined Pumice Aquifer, South-Central Oregon, USA",2018,completed,Michael L. Cummings,David A. Eibert,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/geology_fac/129/,42.806,-121.691,TRUE,
90,Effects of Substrate Depth and Precipitation Characteristics on Stormwater Retention by Two Green Roofs in Portland OR,Effects of Substrate Depth and Precipitation Characteristics on Stormwater Retention by Two Green Roofs in Portland OR,2018,completed,Isaac Schultz,"David Sailor, Olyssa Starry",PSU,,,,"tech, health",,https://pdxscholar.library.pdx.edu/honors_fac/3/,45.5173,-122.6744,TRUE,
91,"A Decision Tree Analysis of Nonindigenous Species Risk from Ballast Water to the Lower Columbia River and Oregon coast, USA","A Decision Tree Analysis of Nonindigenous Species Risk from Ballast Water to the Lower Columbia River and Oregon coast, USA",2018,completed,Danielle Verna,"Richard R. Rueb, Crysta A. Gantz, John Gala, Jeremiah Green, John A. Zalusky, Rian vanden Hooff",PSU,,,,"environment, health",,https://pdxscholar.library.pdx.edu/esm_fac/252/,46.2224,-123.8459,TRUE,
92,Maroon Ponds Natural Area: a Case Study of Wetland and Stream Habitat Restoration from Planning to Post-construction,Maroon Ponds Natural Area: a Case Study of Wetland and Stream Habitat Restoration from Planning to Post-construction,2018,completed,Sarah Hartung,Robert Emanuel,PSU,,,,environment,,https://pdxscholar.library.pdx.edu/uerc/2018/Posters/15/,45.4108,-123.0302,TRUE,
93,Effects of Beaver Dams on Urban Stream Hydraulic Response During Storm Events,Effects of Beaver Dams on Urban Stream Hydraulic Response During Storm Events,2018,completed,Erin Poor,,PSU,,,,"environment, health",,https://pdxscholar.library.pdx.edu/mem_gradprojects/28/,45.4929,-123.02777,TRUE,
94,Lone Wolves and Copycats: Assessing Policy and Infrastructure for Flood Hazard and Floodplain Management,Lone Wolves and Copycats: Assessing Policy and Infrastructure for Flood Hazard and Floodplain Management,2018,completed,Samantha L. Hamlin,,PSU,,,,law,,https://pdxscholar.library.pdx.edu/open_access_etds/4654/,0,0,FALSE,
95,Precipitation Impacts on Groundwater Levels in the Ephemeral Holgate Lake: A MODFLOW Inquiry,Precipitation Impacts on Groundwater Levels in the Ephemeral Holgate Lake: A MODFLOW Inquiry,2018,completed,Amory Cervarich,,PSU,,,,"tech, environment",,https://pdxscholar.library.pdx.edu/cengin_honorstheses/11/,45.485377,-122.528569,TRUE,
96,"Sources of Contaminated Flood Sediments in a Rural–urban Catchment: Johnson Creek, Oregon","Sources of Contaminated Flood Sediments in a Rural–urban Catchment: Johnson Creek, Oregon",2018,completed,Heejun Chang,"Deonie Allen, Jennifer L. Morse, Janardan Mainali",PSU,,,,"environment, health",,https://pdxscholar.library.pdx.edu/geog_fac/117/,45.46196,-122.57213,TRUE,
97,Climate Change and Stream Temperature in the Willamette River Basin: Implications for Fish Habitat,Climate Change and Stream Temperature in the Willamette River Basin: Implications for Fish Habitat,2018,completed,Heejun Chang,"Eric Craig Watson, Angela L. Strecker",PSU,,,,environment,,https://pdxscholar.library.pdx.edu/esm_fac/223/,44.506,-123.096,TRUE,
98,Water Quality Factor Prediction Using Supervised Machine Learning,Water Quality Factor Prediction Using Supervised Machine Learning,2018,completed,Kathleen Joslyn,,PSU,,,,tech,,https://pdxscholar.library.pdx.edu/reu_reports/6/,0,0,FALSE,
99,Long-term Variation of Summer Phytoplankton Communities in an Urban Lake in Relation to Lake Management and Climate Conditions,Long-term Variation of Summer Phytoplankton Communities in an Urban Lake in Relation to Lake Management and Climate Conditions,2018,completed,Yuan Xiao Grund,,PSU,,,,"environment, health",,https://pdxscholar.library.pdx.edu/open_access_etds/4728/,45.4007,-122.69643,TRUE,
100,Using Wetlands to Prevent the Surface Accumulation of Aphanizomenon flos-aquae from Upper Klamath Lake,Using Wetlands to Prevent the Surface Accumulation of Aphanizomenon flos-aquae from Upper Klamath Lake,2018,completed,Arick Christopher Rouhe,,PSU,,,,"health, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/4514/,42.4962,-122.0242,TRUE,
101,"Examining the Spatial Characteristics of Pluvial Flooding Through Citizen Science in Portland, Oregon","Examining the Spatial Characteristics of Pluvial Flooding Through Citizen Science in Portland, Oregon",2018,completed,Katelyn Rachel Michelson,,PSU,,,,"environment, community",,https://pdxscholar.library.pdx.edu/open_access_etds/4548/,45.5173,-122.6744,TRUE,
102,"Removal Efficiencies, Uptake Mechanisms and Competitive Effects of Copper and Zinc in Various Stormwater Filter Media","Removal Efficiencies, Uptake Mechanisms and Competitive Effects of Copper and Zinc in Various Stormwater Filter Media",2018,completed,Emily Heleva-Ponaski,,PSU,,,,"health, tech",,https://pdxscholar.library.pdx.edu/open_access_etds/4556/,0,0,FALSE,
103,"Environmental Justice in Natural Disaster Mitigation Policy and Planning: a Case Study of Flood Risk Management in Johnson Creek, Portland, Oregon","Environmental Justice in Natural Disaster Mitigation Policy and Planning: a Case Study of Flood Risk Management in Johnson Creek, Portland, Oregon",2018,completed,Seong Yun Cho,,PSU,,,,"law, community, environment",,https://pdxscholar.library.pdx.edu/open_access_etds/4502/,45.47574,-122.54283,TRUE,
104,Waste Stream and Green Purchasing Analysis at Bonneville Lock and Dam,Waste Stream and Green Purchasing Analysis at Bonneville Lock and Dam,2018,completed,Alexander Bienko,,PSU,,,,law,,https://pdxscholar.library.pdx.edu/mem_gradprojects/30/,45.6402,-121.9385,TRUE,
105,"Glacier Recession and the Response of Summer Streamflow in the Pacific Northwest United States, 1960–2099","Glacier Recession and the Response of Summer Streamflow in the Pacific Northwest United States, 1960–2099",2018,completed,Chris Frans,"Erkan Istanbulluoglu, Dennis P. Lettenmaier, Andrew G. Fountain, Jon L. Riedel",PSU,,,,environment,,https://pdxscholar.library.pdx.edu/geology_fac/140/,0,0,FALSE,
106,Development of an Effective Shade Model for Water Quality Management in Oregon,Development of an Effective Shade Model for Water Quality Management in Oregon,2018,completed,Erin Costello,,PSU,,,,"environment, health",,https://pdxscholar.library.pdx.edu/mem_gradprojects/39/,43.1626,-124.1724,TRUE,
107,"Removing Dams, Constructing Science: Watershed Restoration Through a Socio-Eco-Technical Systems Lens","Removing Dams, Constructing Science: Watershed Restoration Through a Socio-Eco-Technical Systems Lens",2018,completed,Zbigniew Jakub Grabowski,,PSU,,,,"law, safety",,https://pdxscholar.library.pdx.edu/open_access_etds/4515/,0,0,FALSE,
108,From Probabilistic Socio-Economic Vulnerability to an Integrated Framework for Flash Flood Prediction,From Probabilistic Socio-Economic Vulnerability to an Integrated Framework for Flash Flood Prediction,2018,completed,Sepideh Khajehei,,PSU,,,,"safety, tech",,https://pdxscholar.library.pdx.edu/open_access_etds/4666/,0,0,FALSE,
109,Using Archival and Archaeofaunal Records to Examine Victorian-era Fish Use in the Pacific Northwest,Using Archival and Archaeofaunal Records to Examine Victorian-era Fish Use in the Pacific Northwest,2018,completed,Emily Celene Taber,,PSU,,,,"arts, economy",,https://pdxscholar.library.pdx.edu/open_access_etds/4393/,0,0,FALSE,
110,Non-Linear Deformation Analysis of an Embankment Dam,Non-Linear Deformation Analysis of an Embankment Dam,2018,completed,Silas T. Sanderson,,PSU,,,,"tech, safety",,https://pdxscholar.library.pdx.edu/cengin_gradprojects/41/,0,0,FALSE,
111,Changes in the Willamette Valley: The Creation of a Preliminary GIS of Oregon's River Water Quality,Changes in the Willamette Valley: The Creation of a Preliminary GIS of Oregon's River Water Quality,2018,completed,Aaron Orr,,WOU,,,,"tech, health",,https://digitalcommons.wou.edu/honors_theses/152/,44.8475,-123.2297,TRUE,
112,How Melting Glaciers Will Affect Life in the Pacific Northwest,How Melting Glaciers Will Affect Life in the Pacific Northwest,2018,completed,Brenden Fricke,,WOU,,,,arts,,https://digitalcommons.wou.edu/aes_event/2018/all/157/,0,0,FALSE,
